country,revenue,orders,customers,aov,revenue_share
United Kingdom,14389234.917,33541,5350,429.0043504069646,82.81667347183493
EIRE,616570.54,567,5,1087.4259964726632,3.5486474005095254
Netherlands,554038.09,228,22,2429.9916228070174,3.1887443533415696
Germany,425019.711,789,107,538.6815095057034,2.446184166706148
France,348768.96,614,95,568.0276221498372,2.0073259797369016
Australia,169283.46,95,15,1781.9311578947368,0.9743042706488347
Spain,108332.49,154,41,703.4577272727273,0.6235033691833933
Switzerland,100061.94,90,22,1111.7993333333334,0.5759025451831352
Sweden,91515.82,104,19,879.9598076923078,0.526715688927495
Denmark,68580.69,43,12,1594.8997674418606,0.3947134537009335
Belgium,65387.82,149,29,438.84442953020135,0.37633701647176454
Norway,56322.5,45,13,1251.611111111111,0.3241619251143555
Portugal,55554.78,93,24,597.3632258064516,0.31974334296425927
Channel Islands,44623.33,55,13,811.3332727272727,0.25682781406743616
Japan,43023.909999999996,33,10,1303.7548484848485,0.24762241540320068
Italy,32108.170000000002,65,17,493.9718461538462,0.18479730479114023
Finland,29925.54,57,14,525.0094736842105,0.1722352639972773
Singapore,25317.059999999998,11,1,2301.550909090909,0.1457113393019778
Cyprus,24849.95,37,11,671.6202702702703,0.14302290613867422
Austria,23613.010000000002,45,13,524.7335555555557,0.1359037468035781
Greece,19096.19,18,5,1060.8994444444443,0.10990736761950382
Poland,10654.29,28,6,380.5103571428572,0.06132034545921482
Israel,10415.24,7,4,1487.8914285714286,0.05994450262200789
United Arab Emirates,9202.69,11,4,836.6081818181818,0.05296571896898448
Unspecified,8607.35,16,6,537.959375,0.04953926310325443
USA,8366.86,20,9,418.343,0.048155132402899314
Malta,8099.09,9,2,899.8988888888889,0.0466139927395699
Iceland,4921.53,8,1,615.19125,0.028325671610955724
Lithuania,4892.68,6,1,815.4466666666667,0.028159626574965686
Canada,4883.04,8,5,610.38,0.02810414393555688
Thailand,3070.54,2,1,1535.27,0.017672371743808125
RSA,1933.7400000000002,2,2,966.8700000000001,0.011129564225143307
Lebanon,1693.88,1,1,1693.88,0.009749059464915522
Brazil,1411.87,2,2,705.935,0.008125962043787209
Bahrain,1354.3700000000001,4,2,338.59250000000003,0.007795023063911043
European Community,1300.25,4,1,325.0625,0.007483537540591073
Korea,1118.51,2,2,559.255,0.0064375401457616
Czech Republic,826.74,2,1,413.37,0.0047582694299621335
West Indies,536.41,1,1,536.41,0.0030872865773108695
Saudi Arabia,145.92000000000002,1,1,145.92000000000002,0.0008398367990179194
Nigeria,140.39,2,1,70.195,0.0008080091023446112
