country,revenue,customers,orders,aov,revenue_per_customer
United Kingdom,14389234.917,5350,33541,429.0043504069646,2689.57662
EIRE,616570.54,5,567,1087.4259964726632,123314.10800000001
Netherlands,554038.09,22,228,2429.9916228070174,25183.549545454545
Germany,425019.711,107,789,538.6815095057034,3972.1468317757012
France,348768.96,95,614,568.0276221498372,3671.252210526316
Australia,169283.46,15,95,1781.9311578947368,11285.564
Spain,108332.49,41,154,703.4577272727273,2642.2558536585366
Switzerland,100061.94,22,90,1111.7993333333334,4548.27
Sweden,91515.82,19,104,879.9598076923078,4816.622105263158
Denmark,68580.69,12,43,1594.8997674418606,5715.0575
Belgium,65387.82,29,149,438.84442953020135,2254.7524137931036
Norway,56322.5,13,45,1251.611111111111,4332.5
Portugal,55554.78,24,93,597.3632258064516,2314.7825
Channel Islands,44623.33,13,55,811.3332727272727,3432.5638461538465
Japan,43023.91,10,33,1303.7548484848485,4302.3910000000005
Italy,32108.170000000002,17,65,493.9718461538462,1888.7158823529412
Finland,29925.54,14,57,525.0094736842105,2137.5385714285717
Singapore,25317.06,1,11,2301.550909090909,25317.06
Cyprus,24849.95,11,37,671.6202702702703,2259.086363636364
Austria,23613.010000000002,13,45,524.7335555555557,1816.3853846153847
Greece,19096.19,5,18,1060.8994444444443,3819.238
Poland,10654.29,6,28,380.5103571428572,1775.7150000000001
Israel,10415.24,4,7,1487.8914285714286,2603.81
United Arab Emirates,9202.69,4,11,836.6081818181818,2300.6725
Unspecified,8607.35,6,16,537.959375,1434.5583333333334
USA,8366.86,9,20,418.343,929.6511111111112
Malta,8099.09,2,9,899.8988888888889,4049.545
Iceland,4921.53,1,8,615.19125,4921.53
Lithuania,4892.68,1,6,815.4466666666667,4892.68
Canada,4883.04,5,8,610.38,976.608
Thailand,3070.54,1,2,1535.27,3070.54
RSA,1933.74,2,2,966.87,966.87
Lebanon,1693.88,1,1,1693.88,1693.88
Brazil,1411.8700000000001,2,2,705.9350000000001,705.9350000000001
Bahrain,1354.3700000000001,2,4,338.59250000000003,677.1850000000001
European Community,1300.25,1,4,325.0625,1300.25
Korea,1118.51,2,2,559.255,559.255
Czech Republic,826.74,1,2,413.37,826.74
West Indies,536.41,1,1,536.41,536.41
Saudi Arabia,145.92000000000002,1,1,145.92000000000002,145.92000000000002
Nigeria,140.39,1,2,70.195,140.39
