customer_id,customer_segment,revenue,orders,quantity,last_purchase
12346.0,Loyal Customers,77556.46,12,74285,2011-01-18 10:01:00
12347.0,Champions,4921.53,8,2967,2011-12-07 15:52:00
12348.0,Loyal Customers,2019.3999999999999,5,2714,2011-09-25 13:13:00
12349.0,Champions,4428.6900000000005,4,1624,2011-11-21 09:51:00
12350.0,At Risk,334.40000000000003,1,197,2011-02-02 16:01:00
12351.0,At Risk,300.93,1,261,2010-11-29 15:23:00
12352.0,Champions,2849.84,10,724,2011-11-03 14:37:00
12353.0,At Risk,406.76,2,212,2011-05-19 17:47:00
12354.0,At Risk,1079.4,1,530,2011-04-21 13:11:00
12355.0,Potential Loyalists,947.61,2,543,2011-05-09 13:49:00
12356.0,Champions,6371.7300000000005,6,3416,2011-11-17 08:40:00
12357.0,Loyal Customers,18287.66,3,6587,2011-11-06 16:07:00
12358.0,Champions,3887.07,5,1079,2011-12-08 10:26:00
12359.0,Champions,8873.39,10,2739,2011-10-13 12:47:00
12360.0,Champions,4252.89,8,2459,2011-10-18 15:22:00
12361.0,Potential Loyalists,511.25,4,235,2011-02-25 13:51:00
12362.0,Champions,5356.2300000000005,11,2230,2011-12-06 15:40:00
12363.0,Potential Loyalists,552.0,2,408,2011-08-22 10:18:00
12364.0,Loyal Customers,1313.1,4,1506,2011-12-02 10:22:00
12365.0,Potential Loyalists,641.38,2,174,2011-02-21 14:04:00
12366.0,Lost,500.24,1,296,2010-03-16 10:28:00
12367.0,Potential Loyalists,168.9,1,173,2011-12-05 16:48:00
12368.0,At Risk,917.7,1,330,2010-03-21 15:56:00
12369.0,Potential Loyalists,1791.15,3,1241,2010-10-22 13:13:00
12370.0,Champions,4316.56,7,2604,2011-10-19 14:51:00
12371.0,Champions,4067.38,5,1436,2011-10-26 10:16:00
12372.0,Loyal Customers,1298.04,3,794,2011-09-29 12:12:00
12373.0,Potential Loyalists,1127.65,3,516,2011-02-01 13:10:00
12374.0,Loyal Customers,2989.2200000000003,4,1362,2011-11-14 15:37:00
12375.0,Potential Loyalists,457.5,2,178,2011-11-29 10:36:00
12376.0,At Risk,503.15,2,240,2010-11-15 12:15:00
12377.0,Loyal Customers,3426.32,4,2105,2011-01-28 15:45:00
12378.0,Loyal Customers,5416.32,2,3316,2011-08-02 10:34:00
12379.0,Loyal Customers,1620.22,4,815,2011-09-19 10:09:00
12380.0,Champions,9676.300000000001,11,3355,2011-11-18 11:27:00
12381.0,Champions,1845.31,5,808,2011-12-05 12:44:00
12383.0,Loyal Customers,1850.56,5,1532,2011-06-08 08:02:00
12384.0,Potential Loyalists,585.27,2,126,2011-11-11 08:39:00
12385.0,Potential Loyalists,1938.4,1,612,2010-11-25 15:14:00
12386.0,At Risk,401.9,2,354,2011-01-06 12:37:00
12387.0,Lost,143.94,1,134,2010-10-20 16:27:00
12388.0,Champions,3901.11,8,2001,2011-11-24 12:30:00
12389.0,Potential Loyalists,1433.33,3,614,2010-11-02 11:52:00
12390.0,At Risk,549.84,1,353,2011-09-21 09:33:00
12391.0,Loyal Customers,2724.84,6,1204,2011-11-18 12:07:00
12392.0,Lost,234.75000000000003,1,73,2010-04-27 14:04:00
12393.0,Loyal Customers,2399.45,6,1311,2011-09-28 15:41:00
12394.0,Potential Loyalists,1272.48,2,819,2011-10-07 08:08:00
12395.0,Champions,4721.17,15,3205,2011-11-20 15:21:00
12396.0,At Risk,931.4300000000001,1,591,2010-02-03 13:22:00
12397.0,Loyal Customers,2409.9,2,1263,2011-11-04 09:52:00
12398.0,Potential Loyalists,1635.6599999999999,1,1394,2011-10-25 10:27:00
12399.0,Loyal Customers,1962.3,7,2198,2011-08-12 13:15:00
12400.0,Lost,205.25,1,91,2010-10-21 13:45:00
12401.0,Lost,84.3,1,11,2011-02-09 13:50:00
12402.0,Loyal Customers,1256.9,6,584,2011-01-20 13:49:00
12403.0,Potential Loyalists,1019.36,2,260,2011-10-21 10:51:00
12404.0,Lost,63.24,1,1,2010-01-26 16:25:00
12405.0,Potential Loyalists,1710.39,1,857,2011-07-14 08:52:00
12406.0,Champions,6390.36,5,3416,2011-11-17 19:22:00
