invoice,customer_id,order_date,country,revenue,items,products
489434,13085.0,2009-12-01 07:45:00,United Kingdom,505.3,166,8
489435,13085.0,2009-12-01 07:46:00,United Kingdom,145.8,60,4
489436,13078.0,2009-12-01 09:06:00,United Kingdom,630.33,193,19
489437,15362.0,2009-12-01 09:08:00,United Kingdom,310.75,145,23
489438,18102.0,2009-12-01 09:24:00,United Kingdom,2286.24,826,17
489439,12682.0,2009-12-01 09:28:00,France,426.3,219,19
489440,18087.0,2009-12-01 09:43:00,United Kingdom,50.4,16,2
489441,18087.0,2009-12-01 09:44:00,United Kingdom,344.34000000000003,102,4
489442,13635.0,2009-12-01 09:46:00,United Kingdom,382.37,275,23
489443,14110.0,2009-12-01 09:50:00,United Kingdom,285.06,120,7
489444,12636.0,2009-12-01 09:55:00,USA,141.0,1,1
489445,17519.0,2009-12-01 09:57:00,United Kingdom,308.44,280,19
489446,13758.0,2009-12-01 10:06:00,United Kingdom,996.1,382,27
489447,12362.0,2009-12-01 10:10:00,Belgium,130.0,1,1
489448,15413.0,2009-12-01 10:18:00,United Kingdom,570.24,192,4
489450,16321.0,2009-12-01 10:36:00,Australia,196.10000000000002,100,9
489460,16167.0,2009-12-01 10:46:00,United Kingdom,485.79,977,15
489461,17865.0,2009-12-01 10:49:00,United Kingdom,589.33,379,26
489462,17592.0,2009-12-01 10:49:00,United Kingdom,148.3,38,13
489465,13767.0,2009-12-01 10:52:00,United Kingdom,1197.8000000000002,408,19
489488,17238.0,2009-12-01 10:59:00,United Kingdom,251.1,80,29
489505,15712.0,2009-12-01 11:17:00,United Kingdom,255.5,64,10
489514,15311.0,2009-12-01 11:21:00,United Kingdom,823.02,326,32
489517,16329.0,2009-12-01 11:34:00,United Kingdom,250.06,114,28
489519,17700.0,2009-12-01 11:37:00,United Kingdom,696.73,247,38
489520,14911.0,2009-12-01 11:41:00,EIRE,733.63,293,30
489522,15998.0,2009-12-01 11:45:00,United Kingdom,700.31,409,104
489523,12931.0,2009-12-01 11:46:00,United Kingdom,1160.0,800,1
489526,12533.0,2009-12-01 11:50:00,Germany,929.9200000000001,484,44
489529,17984.0,2009-12-01 11:51:00,United Kingdom,212.63,187,45
489531,14871.0,2009-12-01 11:57:00,United Kingdom,145.0,54,14
489532,13394.0,2009-12-01 11:58:00,United Kingdom,304.53,353,20
489533,16011.0,2009-12-01 12:02:00,United Kingdom,181.5,60,19
489536,16393.0,2009-12-01 12:13:00,United Kingdom,341.02,199,107
489537,14040.0,2009-12-01 12:14:00,United Kingdom,633.33,250,58
489539,15061.0,2009-12-01 12:18:00,United Kingdom,2887.14,1598,17
489540,12913.0,2009-12-01 12:18:00,United Kingdom,537.96,188,5
489542,15061.0,2009-12-01 12:19:00,United Kingdom,387.6,264,2
489544,14341.0,2009-12-01 12:20:00,United Kingdom,281.82,226,14
489545,17804.0,2009-12-01 12:22:00,United Kingdom,124.95,92,32
489546,14156.0,2009-12-01 12:30:00,EIRE,584.5,212,33
489547,13599.0,2009-12-01 12:30:00,United Kingdom,641.45,595,22
489550,14156.0,2009-12-01 12:33:00,EIRE,482.3,232,23
489552,17063.0,2009-12-01 12:36:00,United Kingdom,278.61,129,25
489556,15719.0,2009-12-01 12:47:00,United Kingdom,377.15,174,56
489557,12490.0,2009-12-01 12:52:00,France,603.94,442,21
489558,15793.0,2009-12-01 12:54:00,United Kingdom,291.58000000000004,154,4
489559,17056.0,2009-12-01 12:55:00,United Kingdom,128.60000000000002,26,8
489560,13526.0,2009-12-01 12:56:00,United Kingdom,859.1,1585,26
489561,14654.0,2009-12-01 12:57:00,United Kingdom,246.86,273,27
489562,17998.0,2009-12-01 13:07:00,United Kingdom,229.6,107,39
489564,13526.0,2009-12-01 13:13:00,United Kingdom,322.9,326,11
489566,17742.0,2009-12-01 13:16:00,United Kingdom,218.55,35,8
489567,15326.0,2009-12-01 13:19:00,United Kingdom,307.8,150,20
489569,14478.0,2009-12-01 13:20:00,United Kingdom,282.28,312,18
489571,15967.0,2009-12-01 13:29:00,United Kingdom,156.71,50,30
489572,17611.0,2009-12-01 13:29:00,United Kingdom,507.49,273,83
489573,15051.0,2009-12-01 13:29:00,United Kingdom,580.02,306,32
489574,13097.0,2009-12-01 13:31:00,United Kingdom,544.73,309,63
489575,13590.0,2009-12-01 13:37:00,United Kingdom,367.28000000000003,300,22
489576,15984.0,2009-12-01 13:38:00,United Kingdom,319.66,178,17
489579,16887.0,2009-12-01 13:41:00,United Kingdom,219.82,177,34
489580,12921.0,2009-12-01 13:43:00,United Kingdom,261.0,276,8
489581,15945.0,2009-12-01 13:47:00,United Kingdom,124.83,137,10
489582,14543.0,2009-12-01 13:47:00,United Kingdom,293.95,125,9
