stockcode,description,revenue,quantity,orders,customers,average_price,revenue_share
M,Manual,339599.81,9630,785,438,35.26477777777778,1.6584747752070705
22423,REGENCY CAKESTAND 3 TIER,330590.32,26478,3918,1314,12.485471712364982,1.6144758933982724
DOT,DOTCOM POSTAGE,309854.11,1415,1415,1,218.9781696113074,1.5132082242014118
85123A,WHITE HANGING HEART T-LIGHT HOLDER,257546.2,94142,5356,1490,2.7357205073187316,1.2577565227449192
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1,1,2.08,0.822740689958646
47566,PARTY BUNTING,148318.28,28200,2674,894,5.259513475177305,0.7243293984236897
85099B,JUMBO BAG RED RETROSPOT,145961.83,77280,3245,860,1.8887400362318838,0.7128214035162816
84879,ASSORTED COLOUR BIRD ORNAMENT,129324.49,80082,2807,1010,1.6149008516270824,0.6315710379270207
POST,POSTAGE,125682.42,5363,1851,405,23.435096028342347,0.6137845697174583
22086,PAPER CHAIN KIT 50'S CHRISTMAS,117760.29000000001,35084,2018,896,3.3565240565499948,0.5750959356722533
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000001,78033,247,138,1.047004728768598,0.39899585023681516
79321,CHILLI LIGHTS,80540.88,15841,1135,304,5.084330534688467,0.393330661324515
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,71300.4,31409,756,300,2.2700627208761817,0.3482037132534738
85099F,JUMBO BAG STRAWBERRY,67985.77,36860,1830,549,1.8444321758003257,0.3320163359868476
23084,RABBIT NIGHT LIGHT,66870.03,30739,994,450,2.1754133185855102,0.3265674912254517
21137,BLACK RECORD COVER FRAME,65189.29,18739,634,198,3.4788030311115854,0.3183594039073771
21931,JUMBO STORAGE BAG SUKI,61537.55,29182,2329,546,2.1087502570077445,0.3005257111393668
21621,VINTAGE UNION JACK BUNTING,60286.04,6900,1292,583,8.737107246376812,0.2944138179497935
22114,HOT WATER BOTTLE TEA AND SYMPATHY,59189.14,11677,1583,626,5.068865290742485,0.2890569804977212
85099C,JUMBO  BAG BAROQUE BLACK WHITE,59057.61,30640,1868,506,1.927467689295039,0.2884146385977567
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,58652.700000000004,18634,1427,701,3.1476172587742837,0.2864372139895713
22112,CHOCOLATE HOT WATER BOTTLE,57981.94,11065,1721,631,5.2401211025756895,0.2831614802952035
15056N,EDWARDIAN PARASOL NATURAL,57975.450000000004,11286,1033,347,5.1369351408825095,0.2831297856329153
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,57318.71,27281,2192,658,2.101048715223049,0.2799225202228743
82484,WOOD BLACK BOARD ANT WHITE FINISH,56745.73,9831,1176,451,5.772121859424271,0.277124306417342
22470,HEART OF WICKER LARGE,53506.130000000005,17773,1952,827,3.010528892139763,0.2613033467950123
22178,VICTORIAN GLASS HANGING T-LIGHT,52382.82,40081,1816,593,1.3069239789426412,0.2558175330669721
21733,RED HANGING HEART T-LIGHT HOLDER,50346.490000000005,17575,1760,744,2.8646651493598867,0.245872881039642
22386,JUMBO BAG PINK POLKADOT,50081.96,25235,1443,432,1.9846229443233603,0.24458101832545046
22111,SCOTTIE DOG HOT WATER BOTTLE,49771.94,9776,1689,717,5.091237725040917,0.2430669999583327
21929,JUMBO BAG PINK VINTAGE PAISLEY,49651.99,25608,1619,504,1.9389249453295845,0.24248121032174225
22189,CREAM HEART CARD HOLDER,49300.94,16186,1299,536,3.0459001606326455,0.24076681722524307
22469,HEART OF WICKER SMALL,48935.11,27908,2151,886,1.7534438153934355,0.2389802442969072
21843,RED RETROSPOT CAKE STAND,48564.29,4635,1187,502,10.477732470334413,0.23716930212899995
21731,RED TOADSTOOL LED NIGHT LIGHT,48315.84,28910,1537,415,1.671250086475268,0.235955967946333
22457,NATURAL SLATE HEART CHALKBOARD,47288.23,15373,2046,874,3.0760573733168544,0.23093751618762756
15056BL,EDWARDIAN PARASOL BLACK,47267.450000000004,9504,857,321,4.973426978114478,0.23083603466492356
21232,STRAWBERRY CERAMIC TRINKET BOX,47169.35,36628,2310,683,1.2877948563940154,0.23035695201924178
21754,HOME BUILDING BLOCK WORD,46516.99,7595,2066,682,6.124685977616853,0.227171076843534
21181,PLEASE ONE PERSON METAL SIGN,46249.07000000001,22865,1632,562,2.022701508856331,0.22586265867400243
22138,BAKING SET 9 PIECE RETROSPOT,45882.01,9366,1914,1137,4.898783899209908,0.22407007889903874
20727,LUNCH BAG  BLACK SKULL.,45655.27,26678,2351,705,1.7113453032461203,0.22296276800116027
21623,VINTAGE UNION JACK MEMOBOARD,45402.18,6165,530,311,7.364506082725061,0.22172677384422254
22326,ROUND SNACK BOXES SET OF4 WOODLAND,44063.04,15380,1388,439,2.864957087126138,0.21518692945953105
84078A,SET/4 WHITE RETRO STORAGE CUBES,43844.96,1128,328,151,38.86964539007092,0.21412191066880454
82494L,WOODEN FRAME ANTIQUE WHITE,43811.16,15301,1973,631,2.863287366838769,0.2139568444769183
84029E,RED WOOLLY HOTTIE WHITE HEART.,42994.24,10628,1145,500,4.045374482499059,0.209967321593021
22197,SMALL POPCORN HOLDER,42699.89,48561,1407,426,0.8793041741315047,0.2085298294752186
21915,RED  HARMONICA IN BOX,42664.54,36289,1025,467,1.1756879495163823,0.20835719367985825
21175,GIN + TONIC DIET METAL SIGN,42613.98,20178,1609,543,2.1119030627416,0.20811027809814914
23298,SPOTTY BUNTING,42513.48,8320,1140,571,5.10979326923077,0.20761947477612044
20728,LUNCH BAG CARS BLUE,42270.3,24596,2067,702,1.7185843226540902,0.20643187724526535
48138,DOORMAT UNION FLAG,42239.5,6302,991,467,6.702554744525547,0.20628146189881277
82482,WOODEN PICTURE FRAME WHITE FINISH,41837.6,16914,2006,601,2.473548539671278,0.20431873697221245
22355,CHARLOTTE BAG SUKI DESIGN,41580.97,27550,1403,344,1.50929110707804,0.20306545481766303
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,41099.79,14077,757,298,2.9196412587909357,0.20071555688240167
20725,LUNCH BAG RED RETROSPOT,41043.02,22232,1837,605,1.84612360561353,0.20043831405064474
20713,JUMBO BAG OWLS,40667.05,20814,1314,371,1.9538315556836745,0.19860222126474306
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,2,1,649.5,0.19348639022005498
85066,CREAM SWEETHEART MINI CHEST,38599.979999999996,3091,929,471,12.487861533484308,0.18850744690786903
20726,LUNCH BAG WOODLAND,38506.74,22118,1926,585,1.7409684419929468,0.18805209863178987
48194,DOORMAT HEARTS,38428.12,6026,1033,448,6.377052771324262,0.18766814880912427
22960,JAM MAKING SET WITH JARS,38380.11,9019,1159,583,4.255472890564365,0.18743368644603375
21166,COOK WITH WINE METAL SIGN,38138.86,19932,1425,475,1.9134487256672688,0.18625551429240766
23284,DOORMAT KEEP CALM AND COME IN,38133.64,5487,728,378,6.949815928558411,0.18623002182135304
22720,SET OF 3 CAKE TINS PANTRY DESIGN,38108.89,7483,1385,640,5.09272885206468,0.1861091523465251
22629,SPACEBOY LUNCH BOX,37955.5,20807,1368,456,1.8241697505647139,0.18536005461950042
22699,ROSES REGENCY TEACUP AND SAUCER,37682.8,12860,1410,521,2.9302332814930017,0.18402829276957783
20712,JUMBO BAG WOODLAND ANIMALS,37499.37,17710,1415,387,2.1174121964991532,0.18313249124361045
22727,ALARM CLOCK BAKELIKE RED,36543.77,9234,1363,473,3.9575232835174354,0.178465708611465
22328,ROUND SNACK BOXES SET OF 4 FRUITS,35922.51,12875,1154,400,2.79009786407767,0.17543171386675316
20685,DOORMAT RED RETROSPOT,35198.96,5038,900,416,6.986693132195316,0.17189817412890385
21755,LOVE BUILDING BLOCK WORD,34836.020000000004,5643,1696,661,6.173315612262981,0.1701257148483358
22379,RECYCLING BAG RETROSPOT,34640.84,15765,1570,423,2.1973257215350457,0.16917253084441974
22197,POPCORN HOLDER,34288.67,36749,803,295,0.9330504231407657,0.16745266809895865
48185,DOORMAT FAIRY CAKE,34191.53,5095,597,219,6.710800785083415,0.16697827372381568
22666,RECIPE BOX PANTRY YELLOW DESIGN,33682.62,10706,1657,701,3.146144218195405,0.16449295314059562
21523,DOORMAT FANCY FONT HOME SWEET HOME,33466.26,5075,713,271,6.594336945812809,0.16343633416791775
22630,DOLLY GIRL LUNCH BOX,33380.83,18058,1333,423,1.848534167681914,0.16301912692611764
48187,DOORMAT NEW ENGLAND,33203.79,5291,818,389,6.275522585522586,0.16215453170092403
22382,LUNCH BAG SPACEBOY DESIGN,33049.37,19604,2108,774,1.6858482962660684,0.16140040385030044
15036,ASSORTED COLOURS SILK FAN,32967.03,44272,991,303,0.744647406938923,0.16099828697929702
