stockcode,description,revenue,sold_quantity,orders,customers,returned_quantity,return_value,return_rate,return_value_rate
10002,INFLATABLE POLITICAL GLOBE,6638.2699999999995,8479,297,164,1223.0,883.5500000000001,14.423870739473996,13.309943705212355
10080,GROOVY CACTUS INFLATABLE,124.60999999999999,303,26,23,0.0,0.0,0.0,0.0
10109,BENDY COLOUR PENCILS,1.68,4,1,1,0.0,0.0,0.0,0.0
10120,DOGGY RUBBER,136.07999999999998,648,62,52,30.0,6.3,4.62962962962963,4.62962962962963
10123C,HEARTS WRAPPING TAPE,226.76000000000002,628,46,39,150.0,12.540000000000001,23.88535031847134,5.5300758511201265
10123G,ARMY CAMO WRAPPING TAPE,157.18,2246,12,12,1104.0,66.24,49.15405164737311,42.14276625524875
10124A,SPOTS ON RED BOOKCOVER TAPE,24.36,58,18,18,0.0,0.0,0.0,0.0
10124G,ARMY CAMO BOOKCOVER TAPE,13.44,32,9,9,0.0,0.0,0.0,0.0
10125,MINI FUNKY DESIGN TAPES,1562.7,1970,120,87,0.0,0.0,0.0,0.0
10133,COLOURING PENCILS BROWN TUBE,1910.79,3307,203,153,20.0,12.7,0.6047777441790142,0.6646465597998733
10134,COLOURING PENCILS BROWN TUBE,702.3,612,48,44,10.0,12.5,1.6339869281045754,1.7798661540652145
10135,COLOURING PENCILS BROWN TUBE,4048.14,3887,249,178,11.0,13.75,0.2829945973758683,0.33966216583418557
10138,ASSORTED COLOUR JUMBO PEN,103.74,247,16,14,194.0,81.9,78.54251012145748,78.94736842105264
11001,ASSTD DESIGN RACING CAR PEN,6608.8099999999995,4273,178,118,811.0,1093.3900000000003,18.979639597472502,16.544430843071602
15030,FAN BLACK FRAME,73.66,254,26,23,0.0,0.0,0.0,0.0
15034,PAPER POCKET TRAVELING FAN,1156.1200000000001,9818,172,123,1448.0,116.06000000000002,14.748421267060502,10.03875030273674
15036,ASSORTED COLOURS SILK FAN,28766.32,40994,634,303,929.0,644.03,2.2661852954090844,2.2388334691403
15039,SANDALWOOD FAN,2848.9,4146,180,127,27.0,22.95,0.6512301013024602,0.8055740812243322
15044A,PINK PAPER PARASOL,12803.78,4894,194,116,3.0,8.05,0.06129955046996322,0.06287205809534371
15044B,BLUE PAPER PARASOL,4376.400000000001,1624,148,97,1.0,2.95,0.06157635467980296,0.0674070011881912
