month,customer_type,revenue,orders,customers
2009-12,New,399383.95,955,955
2009-12,Returning,284120.06,557,286
2010-01,New,146252.59100000001,383,383
2010-01,Returning,409550.081,628,386
2010-02,New,147875.154,374,374
2010-02,Returning,356683.802,730,445
2010-03,New,195242.961,443,443
2010-03,Returning,501735.51,1081,669
2010-04,New,118124.821,294,294
2010-04,Returning,473857.181,1035,675
2010-05,New,102208.76,254,254
2010-05,Returning,495624.62,1123,739
2010-06,New,117470.26,270,270
2010-06,Returning,518900.87,1227,807
2010-07,New,59599.85,186,186
2010-07,Returning,530136.3200000001,1195,776
2010-08,New,53785.82,162,162
2010-08,Returning,548438.78,1131,773
2010-09,New,146939.71,243,243
2010-09,Returning,682074.241,1446,931
2010-10,New,162144.44,377,377
2010-10,Returning,870967.5700000001,1756,1167
2010-11,New,134875.44,325,325
2010-11,Returning,1031584.582,2262,1342
2010-12,New,26268.1,76,76
2010-12,Returning,544154.63,1324,812
2011-01,New,42247.65,71,71
2011-01,Returning,525853.66,916,676
2011-02,New,38900.45,124,124
2011-02,Returning,407184.47000000003,873,645
2011-03,New,66504.42,179,179
2011-03,Returning,527577.34,1142,814
2011-04,New,37856.65,106,106
2011-04,Returning,430517.681,1043,761
2011-05,New,46117.29,111,111
2011-05,Returning,631237.86,1444,960
2011-06,New,41385.5,108,108
2011-06,Returning,618660.55,1285,898
2011-07,New,38862.331,102,102
2011-07,Returning,560100.57,1229,862
2011-08,New,43134.4,106,106
2011-08,Returning,600916.64,1174,836
2011-09,New,88353.23,189,189
2011-09,Returning,862336.972,1566,1101
2011-10,New,86595.52,221,221
2011-10,Returning,949046.93,1708,1173
2011-11,New,62907.98,191,191
2011-11,Returning,1093297.6300000001,2466,1506
2011-12,New,19775.86,28,28
2011-12,Returning,497432.58,750,588
